CU:    ARE:   0.24474984172584868,:    WMRE:   0.0572,:    F1Score:   0.9955201592832256,:    RE:   0.01699353505254239
Distribute:    ARE:   3.594812250016743,:    WMRE:   0.5312,:    F1Score:   0.8320292991509906,:    RE:   0.08318424070260157
Common\Core:    ARE:   15.319522192991167,:    WMRE:   0.7396,:    F1Score:   0.5323383084577115,:    RE:   0.007006745067481044
Common\Edge:    ARE:   37.035224887677145,:    WMRE:   1.3752,:    F1Score:   0.3712574850299401,:    RE:   0.5014872050086844
Common\Every:    ARE:   1.7284640762160586,:    WMRE:   0.3268,:    F1Score:   0.887,:    RE:   0.09162414422727634
