,,0.0,0.1001,,0.1001,0.3082,,0.3082,0.7418,,0.7418,0.95,,0.95,1.0
28,s1,¦Á,¦Â,s4,¦Á,¦Â,s20,¦Á,¦Â,s12,¦Á,¦Â,s9,¦Á,¦Â
,,0.0,0.1686,,0.1686,0.5193,,0.5193,0.565,,0.565,0.9157,,0.9157,1.0
29,s1,¦Á,¦Â,s3,¦Á,¦Â,s17,¦Á,¦Â,s11,¦Á,¦Â,s10,¦Á,¦Â
,,0.0,0.1478,,0.1478,0.2246,,0.2246,0.5448,,0.5448,0.8522,,0.8522,1.0
30,s1,¦Á,¦Â,s3,¦Á,¦Â,s18,¦Á,¦Â,s11,¦Á,¦Â,s10,¦Á,¦Â
,,0.0,0.2053,,0.2053,0.3121,,0.3121,0.3677,,0.3677,0.7947,,0.7947,1.0
31,s1,¦Á,¦Â,s4,¦Á,¦Â,s19,¦Á,¦Â,s12,¦Á,¦Â,s10,¦Á,¦Â
,,0.0,0.0953,,0.0953,0.2935,,0.2935,0.7065,,0.7065,0.9047,,0.9047,1.0
32,s1,¦Á,¦Â,s4,¦Á,¦Â,s20,¦Á,¦Â,s12,¦Á,¦Â,s10,¦Á,¦Â
,,0.0,0.1555,,0.1555,0.4789,,0.4789,0.5211,,0.5211,0.8445,,0.8445,1.0
33,s2,¦Á,¦Â,s3,¦Á,¦Â,s17,¦Á,¦Â,s11,¦Á,¦Â,s9,¦Á,¦Â
,,0.0,0.0867,,0.0867,0.1769,,0.1769,0.5526,,0.5526,0.9133,,0.9133,1.0
34,s2,¦Á,¦Â,s3,¦Á,¦Â,s18,¦Á,¦Â,s11,¦Á,¦Â,s9,¦Á,¦Â
,,0.0,0.1292,,0.1292,0.2635,,0.2635,0.3335,,0.3335,0.8708,,0.8708,1.0
35,s2,¦Á,¦Â,s4,¦Á,¦Â,s19,¦Á,¦Â,s12,¦Á,¦Â,s9,¦Á,¦Â
,,0.0,0.0527,,0.0527,0.2718,,0.2718,0.7282,,0.7282,0.9473,,0.9473,1.0
36,s2,¦Á,¦Â,s4,¦Á,¦Â,s20,¦Á,¦Â,s12,¦Á,¦Â,s9,¦Á,¦Â
,,0.0,0.0921,,0.0921,0.4751,,0.4751,0.5249,,0.5249,0.9079,,0.9079,1.0
37,s2,¦Á,¦Â,s3,¦Á,¦Â,s17,¦Á,¦Â,s11,¦Á,¦Â,s10,¦Á,¦Â
,,0.0,0.0798,,0.0798,0.1628,,0.1628,0.5085,,0.5085,0.8404,,0.8404,1.0
38,s2,¦Á,¦Â,s3,¦Á,¦Â,s18,¦Á,¦Â,s11,¦Á,¦Â,s10,¦Á,¦Â
