63,613,1
63,613,1
63,2567,1
63,2567,1
63,4388,1
63,4388,1
63,6227,1
63,6227,1
63,8137,1
63,8137,1
63,9850,1
63,9850,1
63,11799,1
63,11799,1
63,4586,2
63,4586,2
63,11641,2
63,11641,2
63,6402,3
63,6402,3
63,1930,20
63,1930,4
63,9720,4
63,9720,4
63,6443,5
63,6443,5
63,4800,5
63,4800,5
63,4715,12
63,4715,7
63,5292,8
63,5292,8
63,6291,55
63,6291,9
63,5908,33
63,5908,10
63,3268,11
63,3268,11
63,12056,15
63,12056,11
63,5909,12
63,5909,12
63,242,13
63,242,13
63,8334,13
63,8334,13
63,3823,13
63,3823,13
63,11182,13
63,11182,13
63,6342,14
63,6342,14
63,2046,16
63,2046,16
63,7479,16
63,7479,16
63,748,16
63,748,16
63,8845,16
63,8845,16
63,4453,17
63,4453,17
63,1108,18
63,1108,18
63,11461,18
63,11461,18
63,8750,20
63,8750,20
63,8035,21
63,8035,21
63,5675,35
63,5675,21
63,5276,23
63,5276,23
63,5541,23
63,5541,23
63,5517,25
63,5517,25
63,8489,25
63,8489,25
63,10921,27
63,10921,27
63,6610,28
63,6610,28
63,4202,31
63,4202,31
63,12396,33
63,12396,33
63,5409,35
63,5409,35
63,8272,39
63,8272,39
63,10174,41
63,10174,41
63,321,46
63,321,46
63,11082,50
63,11082,50
63,12065,56
63,12065,56
63,3107,62
63,3107,62
63,250,68
63,250,68
63,1935,79
63,1935,79
63,1441,95
63,1441,95
63,10220,121
63,10220,121
63,9126,167
63,9126,167
63,10068,229
63,10068,229
63,897,343
63,897,343
63,6940,535
63,6940,535
63,12119,853
63,12119,853
